# Supplementary Table 10. Differentially expressed genes of subsets within major cell lineages
# Differentially expressed genes for each cluster analyzed within each major cell lineage (Cancer epithelial, Normal Epithelial, T-cells, B-cells, Myeloid, CAFs, PVL and Endothelial). Subset level clusters were compared against all other clusters within their major lineage using the MAST method (FindAllMarkers) with a log-scale fold change threshold of 0.25, detected in at least 0.1 of cells in either clusters and genes with a fraction difference of 0.1. Genes were filtered by an adjusted p-value threshold of 0.05. Statistical significance for differential gene expression in MAST69 was determined using the wilcox test, with all p-values adjusted using bonferroni correction.
p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	major lineage
9.31E-155	0.395295268	0.203	0.072	2.77E-150	Cancer Cycling	KRT5	Cancer Epithelial
0	0.394981026	0.616	0.363	0	Cancer Cycling	SMC3	Cancer Epithelial
1.40E-280	0.394123409	0.728	0.532	4.15E-276	Cancer Cycling	RBM17	Cancer Epithelial
2.32E-262	0.394081251	0.828	0.704	6.89E-258	Cancer Cycling	GGCT	Cancer Epithelial
3.71E-216	0.393947684	0.669	0.443	1.10E-211	Cancer Cycling	PFN2	Cancer Epithelial
2.51973479379036e-320	0.392777591	0.765	0.563	7.49192746237687e-316	Cancer Cycling	C20orf24	Cancer Epithelial
0	0.39267191	0.352	0.022	0	Cancer Cycling	CLSPN	Cancer Epithelial
0	0.391810502	0.773	0.588	0	Cancer Cycling	LSM2	Cancer Epithelial
8.35E-277	0.389728289	0.703	0.496	2.48E-272	Cancer Cycling	RPA3	Cancer Epithelial
7.34E-127	0.389058262	0.302	0.159	2.18E-122	Cancer Cycling	CDKN2A	Cancer Epithelial
0	0.38799547	0.48	0.147	0	Cancer Cycling	DBF4	Cancer Epithelial
0	0.387923573	0.41	0.132	0	Cancer Cycling	FEN1	Cancer Epithelial
1.83E-293	0.386941635	0.711	0.482	5.45E-289	Cancer Cycling	POLD2	Cancer Epithelial
8.02E-301	0.38643161	0.731	0.457	2.38E-296	Cancer Cycling	NGFRAP1	Cancer Epithelial
1.55E-89	0.386305069	0.277	0.177	4.61E-85	Cancer Cycling	HLA-DPA1	Cancer Epithelial
0	0.385902036	0.445	0.138	0	Cancer Cycling	CDCA4	Cancer Epithelial
4.37E-263	0.381926128	0.444	0.204	1.30E-258	Cancer Cycling	QRSL1	Cancer Epithelial
7.13E-251	0.381260173	0.692	0.507	2.12E-246	Cancer Cycling	ILF3	Cancer Epithelial
6.54E-261	0.381148254	0.879	0.749	1.94E-256	Cancer Cycling	YWHAQ	Cancer Epithelial
0	0.379925288	0.311	0.016	0	Cancer Cycling	ANLN	Cancer Epithelial
1.59E-87	0.377407993	0.204	0.101	4.71E-83	Cancer Cycling	SRGN	Cancer Epithelial
8.26900262028629e-313	0.377373414	0.686	0.439	2.46E-308	Cancer Cycling	MRPL37	Cancer Epithelial
9.88E-195	0.376496431	0.732	0.548	2.94E-190	Cancer Cycling	FDPS	Cancer Epithelial
0	0.376391469	0.652	0.396	0	Cancer Cycling	SSRP1	Cancer Epithelial
0	0.376006644	0.307	0.037	0	Cancer Cycling	AURKA	Cancer Epithelial
4.28E-111	0.375827071	0.204	0.088	1.27E-106	Cancer Cycling	LINC01285	Cancer Epithelial
5.89E-251	0.375760603	0.841	0.715	1.75E-246	Cancer Cycling	CYCS	Cancer Epithelial
3.44E-287	0.375642725	0.556	0.318	1.02E-282	Cancer Cycling	RDX	Cancer Epithelial
2.98E-135	0.374763313	0.232	0.099	8.86E-131	Cancer Cycling	IGKV1-9	Cancer Epithelial
0	0.371680331	0.311	0.005	0	Cancer Cycling	CCNA2	Cancer Epithelial
3.26E-305	0.369804306	0.628	0.376	9.70E-301	Cancer Cycling	GLRX3	Cancer Epithelial
0	0.369175522	0.462	0.166	0	Cancer Cycling	MIS18BP1	Cancer Epithelial
1.17E-217	0.36826855	0.356	0.182	3.47E-213	Cancer Cycling	CKLF	Cancer Epithelial
2.76E-267	0.368251638	0.803	0.635	8.21E-263	Cancer Cycling	PPP1CA	Cancer Epithelial
5.31E-213	0.366541949	0.732	0.547	1.58E-208	Cancer Cycling	PSMA4	Cancer Epithelial
0	0.364368511	0.457	0.13	0	Cancer Cycling	SMC2	Cancer Epithelial
0	0.364262358	0.283	0.029	0	Cancer Cycling	FAM111B	Cancer Epithelial
5.63E-262	0.363687658	0.827	0.716	1.67E-257	Cancer Cycling	LSM5	Cancer Epithelial
7.39E-222	0.363206073	0.791	0.663	2.20E-217	Cancer Cycling	RHEB	Cancer Epithelial
0	0.362996189	0.347	0.015	0	Cancer Cycling	CDCA5	Cancer Epithelial
0	0.362571866	0.473	0.163	0	Cancer Cycling	BTG3	Cancer Epithelial
0	0.3624963	0.49	0.191	0	Cancer Cycling	RFC2	Cancer Epithelial
2.03E-256	0.36216592	0.774	0.626	6.03E-252	Cancer Cycling	RAD23A	Cancer Epithelial
0	0.361781539	0.55	0.25	0	Cancer Cycling	SAE1	Cancer Epithelial
2.66E-233	0.361660424	0.473	0.259	7.90E-229	Cancer Cycling	CEP57	Cancer Epithelial
6.56E-199	0.361580023	0.7	0.515	1.95E-194	Cancer Cycling	MDH1	Cancer Epithelial
1.24E-294	0.361256221	0.354	0.126	3.68E-290	Cancer Cycling	NMB	Cancer Epithelial
1.87E-227	0.359666198	0.803	0.628	5.56E-223	Cancer Cycling	PSME2	Cancer Epithelial
1.13E-245	0.357636948	0.76	0.569	3.35E-241	Cancer Cycling	MRPS15	Cancer Epithelial
4.70E-265	0.356594816	0.807	0.668	1.40E-260	Cancer Cycling	PDCD5	Cancer Epithelial
4.30E-111	0.355577161	0.171	0.066	1.28E-106	Cancer Cycling	KRT14	Cancer Epithelial
0	0.354535486	0.392	0.073	0	Cancer Cycling	DHFR	Cancer Epithelial
2.08E-293	0.353462859	0.557	0.305	6.19E-289	Cancer Cycling	SUPT16H	Cancer Epithelial
0	0.3518639	0.276	0.008	0	Cancer Cycling	HMMR	Cancer Epithelial
1.26E-191	0.351499488	0.773	0.618	3.75E-187	Cancer Cycling	RALY	Cancer Epithelial
8.09E-216	0.351459688	0.322	0.132	2.41E-211	Cancer Cycling	CAV2	Cancer Epithelial
7.20E-232	0.350554538	0.776	0.597	2.14E-227	Cancer Cycling	SLIRP	Cancer Epithelial
0	0.349513918	0.381	0.133	0	Cancer Cycling	CSRP2	Cancer Epithelial
3.76E-172	0.349192756	0.75	0.625	1.12E-167	Cancer Cycling	LSM3	Cancer Epithelial
3.54E-254	0.34903159	0.783	0.613	1.05E-249	Cancer Cycling	MTCH1	Cancer Epithelial
1.70E-230	0.346431113	0.703	0.485	5.06E-226	Cancer Cycling	WASF2	Cancer Epithelial
9.10E-251	0.344360266	0.837	0.706	2.70E-246	Cancer Cycling	SRSF3	Cancer Epithelial
0	0.34415129	0.297	0.006	0	Cancer Cycling	PBK	Cancer Epithelial
0	0.342737246	0.287	0.006	0	Cancer Cycling	DEPDC1	Cancer Epithelial
0	0.341465171	0.561	0.279	0	Cancer Cycling	PGP	Cancer Epithelial
0	0.340694826	0.321	0.017	0	Cancer Cycling	KIF23	Cancer Epithelial
1.14E-270	0.340343912	0.293	0.093	3.40E-266	Cancer Cycling	SPHK1	Cancer Epithelial
2.81E-252	0.339074685	0.631	0.401	8.36E-248	Cancer Cycling	PSMD7	Cancer Epithelial
0	0.338976579	0.548	0.265	0	Cancer Cycling	CMC2	Cancer Epithelial
1.35E-206	0.338204104	0.659	0.465	4.03E-202	Cancer Cycling	CDK4	Cancer Epithelial
1.69E-196	0.338201031	0.79	0.622	5.04E-192	Cancer Cycling	CACYBP	Cancer Epithelial
0	0.338118989	0.34	0.014	0	Cancer Cycling	MYBL2	Cancer Epithelial
1.21E-201	0.337394012	0.738	0.59	3.60E-197	Cancer Cycling	SUMO3	Cancer Epithelial
1.16E-115	0.336239994	0.211	0.091	3.46E-111	Cancer Cycling	IGKV1-5	Cancer Epithelial
6.79E-165	0.336118962	0.586	0.41	2.02E-160	Cancer Cycling	PSMB8	Cancer Epithelial
1.92E-220	0.335865773	0.714	0.506	5.71E-216	Cancer Cycling	MTHFD2	Cancer Epithelial
2.24E-192	0.334282432	0.639	0.451	6.66E-188	Cancer Cycling	TMEM106C	Cancer Epithelial
1.23E-235	0.334113876	0.629	0.401	3.67E-231	Cancer Cycling	NUDT5	Cancer Epithelial
1.74E-225	0.334072232	0.776	0.587	5.16E-221	Cancer Cycling	SNRPC	Cancer Epithelial
3.45E-205	0.332991307	0.778	0.656	1.03E-200	Cancer Cycling	SET	Cancer Epithelial
7.37E-197	0.332621309	0.691	0.482	2.19E-192	Cancer Cycling	HDAC2	Cancer Epithelial
0	0.332512743	0.374	0.047	0	Cancer Cycling	PHF19	Cancer Epithelial
0	0.332474239	0.401	0.097	0	Cancer Cycling	ECT2	Cancer Epithelial
6.38E-207	0.330642779	0.572	0.345	1.90E-202	Cancer Cycling	PGD	Cancer Epithelial
2.71E-267	0.330077743	0.28	0.09	8.04E-263	Cancer Cycling	TUBB6	Cancer Epithelial
3.18E-267	0.329841667	0.388	0.162	9.46E-263	Cancer Cycling	HES6	Cancer Epithelial
1.63E-246	0.329592907	0.567	0.347	4.84E-242	Cancer Cycling	SLBP	Cancer Epithelial
1.32E-228	0.329345613	0.676	0.466	3.94E-224	Cancer Cycling	BOLA3	Cancer Epithelial
0	0.328992709	0.345	0.069	0	Cancer Cycling	KNSTRN	Cancer Epithelial
3.64E-187	0.32847736	0.586	0.396	1.08E-182	Cancer Cycling	PSMG3	Cancer Epithelial
1.84E-158	0.328417758	0.81	0.676	5.46E-154	Cancer Cycling	ATP5B	Cancer Epithelial
0	0.328234438	0.311	0.012	0	Cancer Cycling	KIFC1	Cancer Epithelial
7.58E-259	0.328148056	0.607	0.362	2.25E-254	Cancer Cycling	SNRPA1	Cancer Epithelial
2.46E-178	0.327955899	0.793	0.687	7.31E-174	Cancer Cycling	EIF5	Cancer Epithelial
2.32E-289	0.32792325	0.593	0.335	6.90E-285	Cancer Cycling	GMPS	Cancer Epithelial
0	0.327772256	0.366	0.043	0	Cancer Cycling	TRIP13	Cancer Epithelial
6.04E-127	0.327675793	0.191	0.072	1.80E-122	Cancer Cycling	UCHL1	Cancer Epithelial
2.21E-211	0.326664091	0.662	0.46	6.56E-207	Cancer Cycling	MAGOH	Cancer Epithelial
7.19E-182	0.326629481	0.826	0.692	2.14E-177	Cancer Cycling	ATP5C1	Cancer Epithelial
7.43E-201	0.325786328	0.7	0.529	2.21E-196	Cancer Cycling	HNRNPR	Cancer Epithelial
1.42E-141	0.325188805	0.205	0.076	4.23E-137	Cancer Cycling	KRT6B	Cancer Epithelial
2.22E-227	0.322604512	0.588	0.359	6.60E-223	Cancer Cycling	ITGB1BP1	Cancer Epithelial
3.16E-232	0.322264449	0.659	0.444	9.39E-228	Cancer Cycling	POLE4	Cancer Epithelial
2.90E-196	0.322016606	0.834	0.71	8.63E-192	Cancer Cycling	RBM8A	Cancer Epithelial
8.51E-205	0.32184172	0.692	0.496	2.53E-200	Cancer Cycling	PA2G4	Cancer Epithelial
1.82E-166	0.320818136	0.589	0.387	5.41E-162	Cancer Cycling	CD82	Cancer Epithelial
3.72E-194	0.32023077	0.686	0.493	1.11E-189	Cancer Cycling	LRRC59	Cancer Epithelial
0	0.320105926	0.309	0.007	0	Cancer Cycling	SGOL1	Cancer Epithelial
3.79E-228	0.319282869	0.574	0.342	1.13E-223	Cancer Cycling	MAD2L2	Cancer Epithelial
0	0.31926376	0.353	0.048	0	Cancer Cycling	LMNB1	Cancer Epithelial
4.26E-177	0.318676957	0.654	0.507	1.27E-172	Cancer Cycling	DDX21	Cancer Epithelial
2.81E-138	0.318670677	0.575	0.402	8.36E-134	Cancer Cycling	UGP2	Cancer Epithelial
0	0.317855523	0.426	0.15	0	Cancer Cycling	MCM3	Cancer Epithelial
0	0.317199067	0.344	0.066	0	Cancer Cycling	KIF20B	Cancer Epithelial
0	0.31660393	0.403	0.118	0	Cancer Cycling	BARD1	Cancer Epithelial
6.23E-176	0.31640563	0.826	0.686	1.85E-171	Cancer Cycling	VDAC2	Cancer Epithelial
0	0.316202639	0.514	0.227	0	Cancer Cycling	BCL2L12	Cancer Epithelial
0	0.315500152	0.488	0.197	0	Cancer Cycling	SKA2	Cancer Epithelial
1.23E-198	0.314855937	0.833	0.718	3.67E-194	Cancer Cycling	PPA1	Cancer Epithelial
8.13E-228	0.313525426	0.62	0.398	2.42E-223	Cancer Cycling	FAM136A	Cancer Epithelial
2.40E-185	0.312944623	0.778	0.637	7.14E-181	Cancer Cycling	SRSF7	Cancer Epithelial
1.43E-268	0.312785962	0.6	0.342	4.26E-264	Cancer Cycling	TPGS2	Cancer Epithelial
7.82E-227	0.311708781	0.588	0.38	2.33E-222	Cancer Cycling	BAZ1B	Cancer Epithelial
0	0.311498006	0.341	0.03	0	Cancer Cycling	CENPK	Cancer Epithelial
1.01E-228	0.311473889	0.604	0.363	3.02E-224	Cancer Cycling	CDC123	Cancer Epithelial
0	0.311366188	0.376	0.091	0	Cancer Cycling	GINS2	Cancer Epithelial
1.64E-103	0.310814585	0.739	0.609	4.88E-99	Cancer Cycling	PHB2	Cancer Epithelial
9.20E-201	0.309830138	0.75	0.581	2.74E-196	Cancer Cycling	NUDC	Cancer Epithelial
3.01E-154	0.309321453	0.69	0.526	8.96E-150	Cancer Cycling	ITGB1	Cancer Epithelial
